"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Accessibility","ARIA","","0","0","3","0","0"
"End to end","Checkout","","0","0","8","0","0"
"End to end","Authentication","Login","0","0","55","0","0"
"Accessibility","Accessibility","","0","0","3","0","0"
"End to end","Inventory","","0","0","11","0","0"
"End to end","Footer","","0","0","4","0","0"
"UI","Checkout","","0","0","1","0","0"
"UI","Inventory","","0","0","2","0","0"
"End to end","Cart","","0","0","3","0","0"
"UI","Cart","","0","0","1","0","0"
"Performance","","","0","0","10","0","0"
"Load","","","0","0","5","0","0"
"Accessibility","Accessibility","Gunning fog index","0","0","1","0","0"
