"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 08:45:28 GMT 2025","Wed Jun 25 08:45:29 GMT 2025","713","Chromium","accessibility/aria.spec.ts","ARIA Snapshots","","","ARIA for Cart page",""
"passed","Wed Jun 25 08:46:22 GMT 2025","Wed Jun 25 08:46:25 GMT 2025","3238","Chromium","ui/ui.spec.ts","Pages with errors","","","Visual effect for single product view",""
"passed","Wed Jun 25 08:46:17 GMT 2025","Wed Jun 25 08:46:18 GMT 2025","741","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 3",""
"passed","Wed Jun 25 08:46:05 GMT 2025","Wed Jun 25 08:46:08 GMT 2025","2920","Chromium","e2e/inventory.spec.ts","Inventory > Add products - different methods","","","Adding by button ""Add to cart"" - count",""
"passed","Wed Jun 25 08:46:14 GMT 2025","Wed Jun 25 08:46:14 GMT 2025","423","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Missing password","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:46:13 GMT 2025","Wed Jun 25 08:46:13 GMT 2025","436","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Visual user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:28 GMT 2025","Wed Jun 25 08:45:29 GMT 2025","778","Chromium","accessibility/aria.spec.ts","ARIA Snapshots","","","ARIA for Checkout page",""
"passed","Wed Jun 25 08:45:42 GMT 2025","Wed Jun 25 08:45:46 GMT 2025","3525","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Checkout process with Success",""
"passed","Wed Jun 25 08:46:18 GMT 2025","Wed Jun 25 08:46:19 GMT 2025","814","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 4",""
"passed","Wed Jun 25 08:45:25 GMT 2025","Wed Jun 25 08:45:28 GMT 2025","3414","Chromium","accessibility/accessibility.spec.ts","Accessability tests > Accessability tests - fixture","","","Violations results for page",""
"passed","Wed Jun 25 08:46:08 GMT 2025","Wed Jun 25 08:46:11 GMT 2025","2990","Chromium","e2e/inventory.spec.ts","Inventory with errors","","","Adding by button ""Add to cart"" - all",""
"passed","Wed Jun 25 08:45:36 GMT 2025","Wed Jun 25 08:45:39 GMT 2025","2912","Chromium","e2e/checkout.spec.ts","Checkout > Empty fields - error validation","","","Empty Fist Name field",""
"passed","Wed Jun 25 08:45:28 GMT 2025","Wed Jun 25 08:45:28 GMT 2025","498","Chromium","accessibility/aria.spec.ts","ARIA Snapshots","","","ARIA for Inventory page",""
"passed","Wed Jun 25 08:46:11 GMT 2025","Wed Jun 25 08:46:12 GMT 2025","545","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Problem user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:48 GMT 2025","Wed Jun 25 08:45:54 GMT 2025","6221","Chromium","e2e/footer.spec.ts","Footer > Open the footer links","","","Open ""Twitter"" page",""
"passed","Wed Jun 25 08:45:39 GMT 2025","Wed Jun 25 08:45:41 GMT 2025","2833","Chromium","e2e/checkout.spec.ts","Checkout > Empty fields - error validation","","","Empty Postal Code field",""
"passed","Wed Jun 25 08:46:13 GMT 2025","Wed Jun 25 08:46:13 GMT 2025","340","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Missing credentials","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:29 GMT 2025","Wed Jun 25 08:45:32 GMT 2025","2888","Chromium","e2e/cart.spec.ts","Cart","","","Validation Cart page",""
"passed","Wed Jun 25 08:46:11 GMT 2025","Wed Jun 25 08:46:11 GMT 2025","476","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Standard user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:25 GMT 2025","Wed Jun 25 08:45:28 GMT 2025","2852","Chromium","accessibility/accessibility.spec.ts","Accessability tests > Gunning fog index","","","Inventory - product describe",""
"passed","Wed Jun 25 08:45:39 GMT 2025","Wed Jun 25 08:45:42 GMT 2025","2995","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Continue process from Checkout",""
"passed","Wed Jun 25 08:46:03 GMT 2025","Wed Jun 25 08:46:05 GMT 2025","2790","Chromium","e2e/inventory.spec.ts","Inventory > Add products - different methods","","","Adding by Title - one",""
"passed","Wed Jun 25 08:46:11 GMT 2025","Wed Jun 25 08:46:12 GMT 2025","521","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Locked user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:53 GMT 2025","Wed Jun 25 08:45:57 GMT 2025","4443","Chromium","e2e/footer.spec.ts","Footer > Open the footer links","","","Open ""LinkedIn"" page",""
"passed","Wed Jun 25 08:45:57 GMT 2025","Wed Jun 25 08:45:59 GMT 2025","2728","Chromium","e2e/inventory.spec.ts","Inventory > Products sorting","","","Sort by Name (A to Z)",""
"passed","Wed Jun 25 08:46:16 GMT 2025","Wed Jun 25 08:46:16 GMT 2025","660","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 1",""
"passed","Wed Jun 25 08:45:41 GMT 2025","Wed Jun 25 08:45:45 GMT 2025","3079","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Checkout process with Cancel",""
"passed","Wed Jun 25 08:46:14 GMT 2025","Wed Jun 25 08:46:15 GMT 2025","471","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Incorrect credentials","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:46:08 GMT 2025","Wed Jun 25 08:46:11 GMT 2025","2886","Chromium","e2e/inventory.spec.ts","Inventory with errors","","","Wrong image link for product",""
"passed","Wed Jun 25 08:46:02 GMT 2025","Wed Jun 25 08:46:05 GMT 2025","2914","Chromium","e2e/inventory.spec.ts","Inventory > Add products - different methods","","","Adding by Title - all",""
"passed","Wed Jun 25 08:46:19 GMT 2025","Wed Jun 25 08:46:22 GMT 2025","3381","Chromium","ui/ui.spec.ts","Pages with errors","","","Visual effect for checkout",""
"passed","Wed Jun 25 08:45:33 GMT 2025","Wed Jun 25 08:45:36 GMT 2025","2990","Chromium","e2e/checkout.spec.ts","Checkout","","","Validation Checkout page",""
"passed","Wed Jun 25 08:45:48 GMT 2025","Wed Jun 25 08:45:53 GMT 2025","4377","Chromium","e2e/footer.spec.ts","Footer > Open the footer links","","","Open ""Facebook"" page",""
"passed","Wed Jun 25 08:45:32 GMT 2025","Wed Jun 25 08:45:35 GMT 2025","2943","Chromium","e2e/cart.spec.ts","Cart > Function with product","","","Remove product from basket",""
"passed","Wed Jun 25 08:46:18 GMT 2025","Wed Jun 25 08:46:19 GMT 2025","813","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 5",""
"passed","Wed Jun 25 08:45:29 GMT 2025","Wed Jun 25 08:45:32 GMT 2025","2943","Chromium","e2e/cart.spec.ts","Cart > Function with product","","","Add product to basket",""
"passed","Wed Jun 25 08:45:45 GMT 2025","Wed Jun 25 08:45:48 GMT 2025","3132","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Checkout process with payment verification",""
"passed","Wed Jun 25 08:46:16 GMT 2025","Wed Jun 25 08:46:17 GMT 2025","680","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 2",""
"passed","Wed Jun 25 08:46:15 GMT 2025","Wed Jun 25 08:46:15 GMT 2025","493","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Incorrect username","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:46:05 GMT 2025","Wed Jun 25 08:46:08 GMT 2025","2840","Chromium","e2e/inventory.spec.ts","Inventory","","","Single product view",""
"passed","Wed Jun 25 08:45:54 GMT 2025","Wed Jun 25 08:45:57 GMT 2025","2725","Chromium","e2e/inventory.spec.ts","Inventory","","","Validation Inventory page",""
"passed","Wed Jun 25 08:45:18 GMT 2025","Wed Jun 25 08:45:18 GMT 2025","749","setup","e2e/setup/login.setup.ts","","","","Log in to standard user account","This test attempts to log into the website using a login and a password. Authentication is saved to the storage state."
"passed","Wed Jun 25 08:45:57 GMT 2025","Wed Jun 25 08:46:00 GMT 2025","2761","Chromium","e2e/inventory.spec.ts","Inventory > Products sorting","","","Sort by Name (Z to A)",""
"passed","Wed Jun 25 08:45:59 GMT 2025","Wed Jun 25 08:46:02 GMT 2025","2707","Chromium","e2e/inventory.spec.ts","Inventory > Products sorting","","","Sort by Price (low to high)",""
"passed","Wed Jun 25 08:46:19 GMT 2025","Wed Jun 25 08:46:22 GMT 2025","3161","Chromium","ui/ui.spec.ts","Pages with errors","","","Visual effect for cart",""
"passed","Wed Jun 25 08:46:12 GMT 2025","Wed Jun 25 08:46:12 GMT 2025","511","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Error user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:46:00 GMT 2025","Wed Jun 25 08:46:03 GMT 2025","2737","Chromium","e2e/inventory.spec.ts","Inventory > Products sorting","","","Sort by Price (high to low)",""
"passed","Wed Jun 25 08:45:21 GMT 2025","Wed Jun 25 08:45:24 GMT 2025","3619","Chromium","accessibility/accessibility.spec.ts","Accessability tests > Accessability tests - fixture","","","Full scan results for page",""
"passed","Wed Jun 25 08:46:15 GMT 2025","Wed Jun 25 08:46:16 GMT 2025","529","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Incorrect password","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 25 08:45:46 GMT 2025","Wed Jun 25 08:45:48 GMT 2025","2772","Chromium","e2e/footer.spec.ts","Footer","","","Check footer visibility",""
"passed","Wed Jun 25 08:46:22 GMT 2025","Wed Jun 25 08:46:25 GMT 2025","3080","Chromium","ui/ui.spec.ts","Pages with errors","","","Visual effect for inventory",""
"passed","Wed Jun 25 08:46:13 GMT 2025","Wed Jun 25 08:46:14 GMT 2025","437","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Missing username","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
